"Statistic","Value"
"starting_participants",53
"kept_participants",49
"removed_participants",4
"data_exp_141883-v12 .after",37
"data_exp_142778-v2 .after",12
"data_exp_141883-v12 .after",37
"data_exp_142778-v2 .after",12
